No,Periode,IHSG
1,2012/01,3941.69
2,2012/02,3985.21
3,2012/03,4121.55
4,2012/04,4180.73
5,2012/05,3832.82
6,2012/06,3955.58
7,2012/07,4142.34
8,2012/08,4060.33
9,2012/09,4262.56
10,2012/10,4350.29
11,2012/11,4276.14
12,2012/12,4316.69
13,2013/01,4453.70
14,2013/02,4795.79
15,2013/03,4940.99
16,2013/04,5034.07
17,2013/05,5068.63
18,2013/06,4818.90
19,2013/07,4610.38
20,2013/08,4195.09
21,2013/09,4316.18
22,2013/10,4510.63
23,2013/11,4265.44
24,2013/12,4274.18
25,2014/01,4418.76
26,2014/02,4620.22
27,2014/03,4768.28
28,2014/04,4840.15
29,2014/05,4893.91
30,2014/06,4878.58
31,2014/07,5088.80
32,2014/08,5136.86
33,2014/09,5137.58
34,2014/10,5089.55
35,2014/11,5149.89
36,2014/12,5226.95
37,2015/01,5289.40
38,2015/02,5450.29
39,2015/03,5518.68
40,2015/04,5086.43
41,2015/05,5216.38
42,2015/06,4910.66
43,2015/07,4802.53
44,2015/08,4509.61
45,2015/09,4223.91
46,2015/10,4455.18
47,2015/11,4446.46
48,2015/12,4593.01
49,2016/01,4615.16
50,2016/02,4770.96
51,2016/03,4845.37
52,2016/04,4838.58
53,2016/05,4796.87
54,2016/06,5016.65
55,2016/07,5215.99
56,2016/08,5386.00
57,2016/09,5364.80
58,2016/10,5422.54
59,2016/11,5148.91
60,2016/12,5296.71
61,2017/01,5294.10
62,2017/02,5386.69
63,2017/03,5568.11
64,2017/04,5685.30
65,2017/05,5738.15
66,2017/06,5829.71
67,2017/07,5840.94
68,2017/08,5864.06
69,2017/09,5900.85
70,2017/10,6005.78
71,2017/11,5952.14
72,2017/12,6355.65
73,2018/01,6605.63
74,2018/02,6597.22
75,2018/03,6188.99
76,2018/04,5994.60
77,2018/05,5983.59
78,2018/06,5799.24
79,2018/07,5936.44
80,2018/08,6018.46
81,2018/09,5976.55
82,2018/10,5831.65
83,2018/11,6056.12
84,2018/12,6194.50
85,2019/01,6532.97
86,2019/02,6443.35
87,2019/03,6468.76
88,2019/04,6455.35
89,2019/05,6209.12
90,2019/06,6358.63
91,2019/07,6390.51
92,2019/08,6328.47
93,2019/09,6169.10
94,2019/10,6228.32
95,2019/11,6011.83
96,2019/12,6299.54
97,2020/01,5940.05
98,2020/02,5452.70
99,2020/03,4538.93
100,2020/04,4716.40
101,2020/05,4753.61
102,2020/06,4905.39
103,2020/07,5149.63
104,2020/08,6073.87
105,2020/09,4870.04
106,2020/10,5128.23
107,2020/11,5612.42
108,2020/12,5979.07
109,2021/01,5862.35
110,2021/02,6241.80
111,2021/03,5985.52
112,2021/04,5995.62
113,2021/05,5947.46
114,2021/06,5985.49
115,2021/07,6070.04
116,2021/08,6150.30
117,2021/09,6286.94
118,2021/10,6591.35
119,2021/11,6533.93
120,2021/12,6581.48
121,2022/01,6631.15
122,2022/02,6888.17
123,2022/03,7071.44
124,2022/04,7228.91
125,2022/05,7148.97
126,2022/06,6911.58
127,2022/07,6951.12
128,2022/08,7178.59
129,2022/09,7040.80
130,2022/10,7098.89
131,2022/11,7081.31
132,2022/12,6850.62
133,2023/01,6839.34
134,2023/02,6843.24
135,2023/03,6805.28
136,2023/04,6915.72
137,2023/05,6633.26
138,2023/06,6661.88
139,2023/07,6931.36
140,2023/08,6953.26
141,2023/09,6939.89
142,2023/10,6752.21
