No,Periode,IHSG
1,2013/03,4940.99
2,2013/04,5034.07
3,2013/05,5068.63
4,2013/06,4818.9
5,2013/07,4610.38
6,2013/08,4195.09
7,2013/09,4316.18
8,2013/10,4510.63
9,2013/11,4265.44
10,2013/12,4274.18
11,2014/01,4418.76
12,2014/02,4620.22
13,2014/03,4768.28
14,2014/04,4840.15
15,2014/05,4893.91
16,2014/06,4878.58
17,2014/07,5088.8
18,2014/08,5136.86
19,2014/09,5137.58
20,2014/10,5089.55
21,2014/11,5149.89
22,2014/12,5226.95
23,2015/01,5289.4
24,2015/02,5450.29
25,2015/03,5518.68
26,2015/04,5086.43
27,2015/05,5216.38
28,2015/06,4910.66
29,2015/07,4802.53
30,2015/08,4509.61
31,2015/09,4223.91
32,2015/10,4455.18
33,2015/11,4446.46
34,2015/12,4593.01
35,2016/01,4615.16
36,2016/02,4770.96
37,2016/03,4845.37
38,2016/04,4838.58
39,2016/05,4796.87
40,2016/06,5016.65
41,2016/07,5215.99
42,2016/08,5386
43,2016/09,5364.8
44,2016/10,5422.54
45,2016/11,5148.91
46,2016/12,5296.71
47,2017/01,5294.1
48,2017/02,5386.69
49,2017/03,5568.11
50,2017/04,5685.3
51,2017/05,5738.15
52,2017/06,5829.71
53,2017/07,5840.94
54,2017/08,5864.06
55,2017/09,5900.85
56,2017/10,6005.78
57,2017/11,5952.14
58,2017/12,6355.65
59,2018/01,6605.63
60,2018/02,6597.22
61,2018/03,6188.99
62,2018/04,5994.6
63,2018/05,5983.59
64,2018/06,5799.24
65,2018/07,5936.44
66,2018/08,6018.46
67,2018/09,5976.55
68,2018/10,5831.65
69,2018/11,6056.12
70,2018/12,6194.5
71,2019/01,6532.97
72,2019/02,6443.35
73,2019/03,6468.76
74,2019/04,6455.35
75,2019/05,6209.12
76,2019/06,6358.63
77,2019/07,6390.51
78,2019/08,6328.47
79,2019/09,6169.1
80,2019/10,6228.32
81,2019/11,6011.83
82,2019/12,6299.54
83,2020/01,5940.05
84,2020/02,5452.7
85,2020/03,4538.93
86,2020/04,4716.4
87,2020/05,4753.61
88,2020/06,4905.39
89,2020/07,5149.63
90,2020/08,6073.87
91,2020/09,4870.04
92,2020/10,5128.23
93,2020/11,5612.42
94,2020/12,5979.07
95,2021/01,5862.35
96,2021/02,6241.8
97,2021/03,5985.52
98,2021/04,5995.62
99,2021/05,5947.46
100,2021/06,5985.49
101,2021/07,6070.04
102,2021/08,6150.3
103,2021/09,6286.94
104,2021/10,6591.35
105,2021/11,6533.93
106,2021/12,6581.48
107,2022/01,6631.15
108,2022/02,6888.17
109,2022/03,7071.44
110,2022/04,7228.91
111,2022/05,7148.97
112,2022/06,6911.58
113,2022/07,6951.12
114,2022/08,7178.59
115,2022/09,7040.8
116,2022/10,7098.89
117,2022/11,7081.31
118,2022/12,6850.62
119,2023/01,6839.34
120,2023/02,6843.24
121,2023/03,6805.28
122,2023/04,6915.72
123,2023/05,6633.26
124,2023/06,6661.88
125,2023/07,6931.36
126,2023/08,6953.26
127,2023/09,6939.89
128,2023/10,6752.21
